lat,lng,fai,date
-39.20578,-72.07603,0.0,2026-08-22
-39.20578,-72.0726,0.0,2026-08-22
-39.20868,-72.18904,-0.00037,2026-08-22
-39.20868,-72.18562,-6e-05,2026-08-22
-39.20868,-72.18219,-9e-05,2026-08-22
-39.20868,-72.17877,0.0,2026-08-22
-39.20868,-72.17534,-7e-05,2026-08-22
-39.20868,-72.17192,0.0,2026-08-22
-39.20868,-72.16849,-0.00021,2026-08-22
-39.20868,-72.16507,-9e-05,2026-08-22
-39.20868,-72.16164,0.0,2026-08-22
-39.20868,-72.15822,0.0,2026-08-22
-39.20868,-72.15479,0.0,2026-08-22
-39.20868,-72.15137,0.0,2026-08-22
-39.20868,-72.14795,0.0,2026-08-22
-39.20868,-72.14452,-0.00052,2026-08-22
-39.20868,-72.08973,-0.00082,2026-08-22
-39.20868,-72.0863,0.0,2026-08-22
-39.20868,-72.08288,-2e-05,2026-08-22
-39.20868,-72.07945,-0.00011,2026-08-22
-39.20868,-72.07603,0.0,2026-08-22
-39.20868,-72.0726,0.0,2026-08-22
-39.20868,-72.06918,0.0,2026-08-22
-39.20868,-72.06575,0.0,2026-08-22
-39.21157,-72.18904,0.0,2026-08-22
-39.21157,-72.18562,-0.00015,2026-08-22
-39.21157,-72.18219,0.0,2026-08-22
-39.21157,-72.17877,-4e-05,2026-08-22
-39.21157,-72.17534,0.0,2026-08-22
-39.21157,-72.17192,0.0,2026-08-22
-39.21157,-72.16849,0.0,2026-08-22
-39.21157,-72.16507,0.0,2026-08-22
-39.21157,-72.16164,0.0,2026-08-22
-39.21157,-72.15822,0.0,2026-08-22
-39.21157,-72.15479,0.0,2026-08-22
-39.21157,-72.15137,0.0,2026-08-22
-39.21157,-72.14795,0.0,2026-08-22
-39.21157,-72.14452,-4e-05,2026-08-22
-39.21157,-72.1411,0.0,2026-08-22
-39.21157,-72.13767,-0.00034,2026-08-22
-39.21157,-72.09315,0.0,2026-08-22
-39.21157,-72.08973,-9e-05,2026-08-22
-39.21157,-72.0863,0.0,2026-08-22
-39.21157,-72.08288,0.0,2026-08-22
-39.21157,-72.07945,0.0,2026-08-22
-39.21157,-72.07603,0.0,2026-08-22
-39.21157,-72.0726,0.0,2026-08-22
-39.21157,-72.06918,0.0,2026-08-22
-39.21157,-72.06575,0.0,2026-08-22
-39.21157,-72.06233,-0.00165,2026-08-22
-39.21446,-72.18904,-0.00241,2026-08-22
-39.21446,-72.18562,-0.00015,2026-08-22
-39.21446,-72.18219,0.0,2026-08-22
-39.21446,-72.17877,0.0,2026-08-22
-39.21446,-72.17534,-7e-05,2026-08-22
-39.21446,-72.17192,0.0,2026-08-22
-39.21446,-72.16849,0.0,2026-08-22
-39.21446,-72.16507,0.0,2026-08-22
-39.21446,-72.16164,0.0,2026-08-22
-39.21446,-72.15822,0.0,2026-08-22
-39.21446,-72.15479,0.0,2026-08-22
-39.21446,-72.15137,0.0,2026-08-22
-39.21446,-72.14795,0.0,2026-08-22
-39.21446,-72.14452,0.0,2026-08-22
-39.21446,-72.1411,0.0,2026-08-22
-39.21446,-72.13767,0.0,2026-08-22
-39.21446,-72.13425,0.0,2026-08-22
-39.21446,-72.13082,0.0,2026-08-22
-39.21446,-72.1274,0.0,2026-08-22
-39.21446,-72.12397,-2e-05,2026-08-22
-39.21446,-72.1,-0.00015,2026-08-22
