lat,lng,fai,pixel_id,date
-39.20578,-72.07603,-0.00026,r0030_c1200,2025-09-04
-39.20578,-72.0726,-0.00043,r0030_c1215,2025-09-04
-39.20868,-72.18904,-0.00056,r0045_c0705,2025-09-04
-39.20868,-72.18562,-0.00024,r0045_c0720,2025-09-04
-39.20868,-72.18219,-0.00017,r0045_c0735,2025-09-04
-39.20868,-72.17877,-0.00019,r0045_c0750,2025-09-04
-39.20868,-72.17534,-0.00022,r0045_c0765,2025-09-04
-39.20868,-72.17192,-0.0003,r0045_c0780,2025-09-04
-39.20868,-72.16849,-0.00049,r0045_c0795,2025-09-04
-39.20868,-72.16507,-0.00032,r0045_c0810,2025-09-04
-39.20868,-72.16164,-0.00051,r0045_c0825,2025-09-04
-39.20868,-72.15822,-0.0006,r0045_c0840,2025-09-04
-39.20868,-72.15479,-0.00041,r0045_c0855,2025-09-04
-39.20868,-72.15137,-0.00039,r0045_c0870,2025-09-04
-39.20868,-72.14795,-0.00051,r0045_c0885,2025-09-04
-39.20868,-72.14452,-0.00075,r0045_c0900,2025-09-04
-39.20868,-72.08973,-0.00077,r0045_c1140,2025-09-04
-39.20868,-72.0863,-0.00064,r0045_c1155,2025-09-04
-39.20868,-72.08288,-0.00043,r0045_c1170,2025-09-04
-39.20868,-72.07945,-0.00022,r0045_c1185,2025-09-04
-39.20868,-72.07603,-9e-05,r0045_c1200,2025-09-04
-39.20868,-72.0726,-9e-05,r0045_c1215,2025-09-04
-39.20868,-72.06918,-4e-05,r0045_c1230,2025-09-04
-39.20868,-72.06575,-0.00022,r0045_c1245,2025-09-04
-39.21157,-72.18904,-0.00019,r0060_c0705,2025-09-04
-39.21157,-72.18562,-6e-05,r0060_c0720,2025-09-04
-39.21157,-72.18219,0.0,r0060_c0735,2025-09-04
-39.21157,-72.17877,-0.00037,r0060_c0750,2025-09-04
-39.21157,-72.17534,-0.00028,r0060_c0765,2025-09-04
-39.21157,-72.17192,-0.00051,r0060_c0780,2025-09-04
-39.21157,-72.16849,-0.00051,r0060_c0795,2025-09-04
-39.21157,-72.16507,-0.0003,r0060_c0810,2025-09-04
-39.21157,-72.16164,-0.00019,r0060_c0825,2025-09-04
-39.21157,-72.15822,-0.00045,r0060_c0840,2025-09-04
-39.21157,-72.15479,-0.00013,r0060_c0855,2025-09-04
-39.21157,-72.15137,-0.00015,r0060_c0870,2025-09-04
-39.21157,-72.14795,-0.00022,r0060_c0885,2025-09-04
-39.21157,-72.14452,-0.00022,r0060_c0900,2025-09-04
-39.21157,-72.1411,-0.00032,r0060_c0915,2025-09-04
-39.21157,-72.13767,-0.00096,r0060_c0930,2025-09-04
-39.21157,-72.09315,-0.00041,r0060_c1125,2025-09-04
