station_id,anchor_date,target_date,horizon_days,fai_q10,fai_q50,fai_q90,n_pixels,alert_threshold
pucon,2025-11-25,2025-12-03,8,-0.002311888189135725,0.0004312341783069558,0.002148634240419679,25,0.00381
norte,2025-11-25,2025-12-03,8,-0.0018775389679768623,0.0009397619794990212,0.003072943543331391,25,0.00381
tolten,2025-11-25,2025-12-03,8,-0.002651802690208953,-0.0005002366466472833,0.0013154260180324561,25,0.00381
sur,2025-11-25,2025-12-03,8,-0.0016936101071503057,0.0009326638171695739,0.0028674067477117665,25,0.00381
lake,2025-11-25,2025-12-03,8,-0.002351068221078384,0.0001879968799477885,0.0020231897650014037,386,0.00381
pucon,2025-12-18,2025-12-25,7,-0.004715787497338996,-0.0002042716175931121,0.0024449046308420456,25,0.00381
norte,2025-12-18,2025-12-25,7,-0.0013337989309607165,0.0010397159182414174,0.002804416606538913,25,0.00381
tolten,2025-12-18,2025-12-25,7,-0.004056064232117296,-0.0008040915791524907,0.001974991509581351,25,0.00381
sur,2025-12-18,2025-12-25,7,-0.0038271702237399085,0.0005518640306021897,0.003211830884937051,25,0.00381
lake,2025-12-18,2025-12-25,7,-0.0018261712959118284,0.00043133369941500735,0.002186466779914587,1768,0.00381
pucon,2025-12-25,2026-01-02,8,-0.004796151732508982,0.001387554131167124,0.004214396606025876,25,0.00381
norte,2025-12-25,2026-01-02,8,-0.0013843636040789093,0.0013328949913007308,0.002895395645035994,25,0.00381
tolten,2025-12-25,2026-01-02,8,-0.00398587042141073,-0.0007527527901689505,0.0021468810955680637,25,0.00381
sur,2025-12-25,2026-01-02,8,-0.0037029397142328475,0.0009021520648723383,0.003310294935759035,25,0.00381
lake,2025-12-25,2026-01-02,8,-0.0018463384315072478,0.0006480811232848539,0.0022881481957275763,1771,0.00381
pucon,2025-12-28,2026-01-04,7,-0.004838442880922788,0.0009021832009705055,0.0036085801119804207,25,0.00381
norte,2025-12-28,2026-01-04,7,-0.0014072301603098786,0.0010289422346487827,0.002539057472451726,25,0.00381
tolten,2025-12-28,2026-01-04,7,-0.004402026324770824,-0.0011958341113724117,0.0016992212747442123,25,0.00381
sur,2025-12-28,2026-01-04,7,-0.004069112073869642,0.0005492678132492061,0.0031105119524821034,25,0.00381
lake,2025-12-28,2026-01-04,7,-0.0020876574080646707,0.00041942123749525947,0.002104024088488997,1837,0.00381
pucon,2025-12-30,2026-01-07,8,-0.005097691287051946,0.0010073540317933672,0.0037093384876811923,25,0.00381
norte,2025-12-30,2026-01-07,8,-0.0014731516717505174,0.00101897883957959,0.0025357077059910897,25,0.00381
tolten,2025-12-30,2026-01-07,8,-0.004808641870626372,-0.0015063445271050703,0.0013349967223302435,25,0.00381
sur,2025-12-30,2026-01-07,8,-0.00403857029739045,0.00040271060796160475,0.0028612319592180137,25,0.00381
lake,2025-12-30,2026-01-07,8,-0.0022761244733453916,0.0002894024002171145,0.001962069999181463,1843,0.00381
pucon,2026-01-02,2026-01-09,7,-0.0046456897912938834,0.0007577330037303944,0.003563530252053473,25,0.00381
norte,2026-01-02,2026-01-09,7,-0.0012501739252936028,0.0008912190568867408,0.0022845843596808937,25,0.00381
tolten,2026-01-02,2026-01-09,7,-0.0046557274170758,-0.0014819094329252287,0.0013251760729488895,25,0.00381
sur,2026-01-02,2026-01-09,7,-0.004523193856916226,0.002027336602477047,0.007828967408277583,25,0.00381
lake,2026-01-02,2026-01-09,7,-0.0021267685089380543,0.0002606081616180401,0.0019323411233672966,1841,0.00381
pucon,2026-01-04,2026-01-11,7,-0.005178135860114775,-0.0004050458013356055,0.002802175411047525,25,0.00381
norte,2026-01-04,2026-01-11,7,-0.0010654243361935543,0.0005494559611188901,0.001873248283542813,25,0.00381
tolten,2026-01-04,2026-01-11,7,-0.004814370270830677,-0.001251872671446777,0.001412525989321306,25,0.00381
sur,2026-01-04,2026-01-11,7,-0.004716443550400117,0.001483758356582559,0.006758562523852099,25,0.00381
lake,2026-01-04,2026-01-11,7,-0.002163180671567739,5.024301051576111e-05,0.0016767371524829282,1844,0.00381
pucon,2026-01-09,2026-01-17,8,-0.005646210280391,0.00043663402543331424,0.0033108313537415666,25,0.00381
norte,2026-01-09,2026-01-17,8,-0.0010099033856109554,0.0008006339627955882,0.00204193342006965,25,0.00381
tolten,2026-01-09,2026-01-17,8,-0.004633841603481762,-0.0014526420815510672,0.0009611300319648351,25,0.00381
sur,2026-01-09,2026-01-17,8,-0.004357417932319009,0.0013440612627211794,0.005837224139134403,25,0.00381
lake,2026-01-09,2026-01-17,8,-0.002151351254547278,0.00016308213120536948,0.0017169286905340901,1838,0.00381
pucon,2026-01-11,2026-01-17,6,-0.004090133312019562,0.0012822666010975452,0.0048269857779995005,25,0.00381
norte,2026-01-11,2026-01-17,6,-0.0008380630333543749,0.0010712726327068564,0.002499892372034684,25,0.00381
tolten,2026-01-11,2026-01-17,6,-0.00476080449337337,-0.0018462130145026996,0.0015145343368061187,25,0.00381
sur,2026-01-11,2026-01-17,6,-0.003969314068818722,0.0030395993962787794,0.009246641878613862,25,0.00381
lake,2026-01-11,2026-01-17,6,-0.001960113148239859,0.00042905928846685904,0.0023288538082169726,1845,0.00381
pucon,2026-01-17,2026-01-22,5,-0.004754472596519877,0.00036578374594410624,0.003505249779508615,25,0.00381
norte,2026-01-17,2026-01-22,5,-0.0012131660094778132,0.0003968012942554175,0.0017385494999565792,25,0.00381
tolten,2026-01-17,2026-01-22,5,-0.004933377449851196,-0.0017929829983734798,0.0012387175475835667,25,0.00381
sur,2026-01-17,2026-01-22,5,-0.004691407799875541,0.002895623167103174,0.009166383227497963,25,0.00381
lake,2026-01-17,2026-01-22,5,-0.0023350800615760943,-0.00015498286287993972,0.001616581001207277,1838,0.00381
pucon,2026-01-19,2026-01-24,5,-0.0017850696551936001,-0.00021541857208698438,0.001401387174282815,25,0.00381
